,id,attributes.channels
0,6434868503e059e930ccff00,chat
1,643486814093dcb37ac96dd5,email
2,6434867eed8c19bdd82980b9,chat
3,6434867b3c36688cbff8dcb0,voice
4,6434867bf92dbf4a15ea336d,email
5,6434867aed8c194bcd297ff5,email
6,643486796ea24a6572477ca5,chat
7,64348670fde4650c68bb0241,chat
8,64348666a0fa003c35c8622a,voice
9,64348664f92dbf8c65ea2dec,voice
10,643486504a42a64cfb4e3933,voice
11,6434864ffde4652201bafb42,voice
12,643486434093dc6400c96036,chat
13,64348643ed8c195f6d29738d,chat
14,64348640f92dbf1ce1ea2648,voice
15,643486401e90c60ec4eb724a,chat
16,6434864054e9f30f5e1c3e37,chat
17,6434863fe94dab1d2ff0c847,voice
18,6434863fe94dab0a83f0c843,chat
19,64348625ead65848c1a77388,email
20,6434861bb5735735a2fd710b,email
21,6434861a7ed41a4842d40810,chat
22,6434861a3c36685d00f8c795,voice
23,64348619e94dab27c2f0c060,chat
24,643486151e90c69d10eb699f,voice
25,6434860ef593ceff19468454,voice
26,6434860954e9f338741c32e5,email
27,64348604a0fa0026d1c84ce9,chat
28,643486024eabdba82b175b36,chat
29,643485f55edacdcfa40a7635,chat
30,643485f4fde465b89ebae88a,email
31,643485dbf26ac444a2df9bda,voice
32,643485d0e94dab295af0b140,voice
33,643485cd7ed41a3814d3f8bc,voice
34,643485cd7ed41a3814d3f8bc,sms
35,643485c9f92dbf384eea0d3e,
36,643485c7ead6588be2a75ffa,voice
37,643485c56cd79d7e95008e60,voice
38,643485c56cd79d7e95008e60,email
39,643485b21e90c69f17eb5471,voice
40,643485acead6589188a75a6e,voice
41,6434859223dba5d121fe72b2,email
42,64348591a0fa0047e7c8347e,chat
43,643485894093dc26bfc93933,voice
44,643485894093dc26bfc93933,email
45,643485785edacdfbe30a5bea,voice
46,64348576fde465af65bacdc8,email
47,64348575ead6586109a74fa7,email
48,6434856d4eabdb86f0173ad9,voice
49,6434856503e05902a3ccc119,email
50,643485605edacd22db0a5673,email
51,6434855f713cb70dd844f678,voice
52,6434855323dba53a83fe651f,voice
53,6434855323dba53a83fe651f,email
54,64348544713cb7758e44f09f,chat
55,6434853a6cd79dda9700714a,voice
56,6434853a6cd79dbd25007146,voice
57,64348528ead6588491a73fe6,voice
58,643485226cd79d6a3d006c2e,voice
59,64348509a0fa00187ac817ab,voice
60,643485064eabdb49a117257b,voice
61,643484eb4a42a661164ded63,voice
62,643484e7e94dab8e86f08124,email
63,643484e66ea24af8c6472940,email
64,643484e43c36683e53f8871e,voice
65,643484e3f26ac4dabfdf67a9,chat
66,643484e1ed8c1963cc292a1b,email
67,643484d91e90c6364ceb27b5,voice
68,643484d64093dc20cbc91442,voice
69,643484d43c366822ddf883d4,voice
70,643484d3713cb7c40744d9d2,voice
71,643484b26ea24a5502472000,voice
72,643484aeead65881cda72706,
73,643484ad4093dc49d7c90c67,
74,643484a9b57357935cfd247c,voice
75,643484a6ead6582d9da725bd,voice
76,643484a23c3668a775f87a0c,email
77,643484a0f26ac45578df5a28,chat
78,6434848f713cb7c1b344ccf4,email
79,64348477fde465fd96ba99b7,voice
80,64348477fde465fd96ba99b7,email
81,64348477fde465b3f2ba99b3,voice
82,64348477fde465b3f2ba99b3,sms
83,64348467fd27bdd07055d5ea,voice
84,64348458ead658557ea71632,voice
85,643484423c36688511f866e1,
86,643484423c3668b45cf866dd,voice
87,643484423c36683c9ff866d5,
88,64348431f92dbf3452e9ba83,email
89,6434843109d3225b6c71bdf6,voice
90,6434843109d3226ea471bdf2,email
91,64348431f92dbfd57de9ba6f,voice
92,64348425e94dab54bcf05ace,voice
93,64348425e94dab2745f05aca,voice
94,64348422713cb76cd444b7cc,email
95,64348420fde465e284ba88bc,email
96,6434841954e9f35ee21bcfab,voice
97,6434840f03e059407fcc7c80,email
98,6434840dead6585356a70797,email
99,643483f84eabdb4c5016f094,voice
100,643483f66ea24a751846fb1c,
101,643483f4a0fa000b50c7e04b,chat
102,643483f4a0fa00e25ac7e047,email
103,643483ebf593ceb30c4613e9,voice
104,643483ebf593ceb30c4613e9,sms
105,643483e8e94dab0239f04ee2,voice
106,643483e13c36684ecff853c6,chat
107,643483cd23dba515c6fe1786,chat
108,643483c103e0594d09cc6dae,voice
109,643483be39530e3221972f9c,email
110,643483bd7134534df3950a15,
111,643483bbb57357ccdcfcf64b,chat
112,643483ac4eabdb5fea16e255,voice
113,643483a803e059297ecc68cd,
114,643483966ea24a551146e93c,email
115,643483935edacde6fe09fb6c,voice
116,6434838e713cb73c02449aee,email
117,6434838b6cd79d1c54001c27,voice
118,6434838b6cd79d1c54001c27,email
119,6434837bf92dbfecd5e99776,voice
120,6434837a39530eeb439722db,email
121,643483793c366864bdf840c6,email
122,643483556ea24aa39a46dd17,
123,6434834709d3220e71719200,
124,6434833ef26ac43ec4df1720,voice
125,64348334ead65837d1a6debd,email
126,643483324eabdb389016cc48,voice
127,64348330e94dab973df02d36,voice
128,6434832df26ac45737df1403,email
129,6434832a09d3220e90718d0a,email
130,643483277ed41a4664d372a4,voice
131,643483261e90c65714ead4bc,email
132,643483265edacd33f609e7af,email
133,6434831f54e9f34bea1ba0f7,voice
134,643483157ed41a1073d36f0f,voice
135,64348315713cb7f8a0448625,voice
136,6434830f6cd79d862a000681,voice
137,643482f7b57357d6a6fcd371,voice
138,643482f54eabdb3f4916c1b7,chat
139,643482f223dba50e0ffdefc7,email
140,643482f223dba569f4fdefc0,voice
141,643482f01e90c68ca7eacab3,email
142,643482e703e0593fc4cc46f0,email
143,643482e423dba52cf9fded1a,email
144,643482e209d32281c0717fd6,
145,643482d6f26ac41de5df040b,chat
146,643482ceed8c195c5828c54e,
147,643482ceed8c19d8a428c54a,
148,643482ceed8c191fdb28c53d,
149,643482caead6584e32a6cbca,email
150,643482caead6584e32a6cbca,voice
151,643482c1b57357adbbfcc8e1,voice
152,643482c1b57357adbbfcc8e1,email
153,64348285fd27bd4c84557cff,email
154,643482845edacd151809cb84,email
155,643482845edacd151809cb84,voice
156,64348282a0fa00840cc79b77,voice
157,64348280b573571c4bfcbd28,chat
158,6434827d6cd79d657cffebb4,voice
159,64348278c54b38a1dcae9eac,chat
160,643482757ed41a514ad352af,voice
161,643482757ed41a514ad352af,email
