,id,type,attributes.channel,attributes.completedAt,attributes.createdAt,attributes.firstEnterQueueAt,attributes.hasSkills,attributes.itemSize,attributes.modifiedAt,attributes.paused,attributes.priority,attributes.queuedCount,attributes.resourceCreatedAt,attributes.resourceDirection,attributes.resourceFirstAssignTime,attributes.resourceFirstQueueTime,attributes.resourceFirstRouteTime,attributes.resourceRev,attributes.resourceType,attributes.rev,attributes.skills,attributes.status,attributes.updatedAt,attributes.workItemNumber,links.self,attributes.firstRoutedResponse.businessTime,attributes.firstRoutedResponse.createdAt,attributes.firstRoutedResponse.id,attributes.firstRoutedResponse.time,attributes.handle.businessTime,attributes.handle.completedAt,attributes.handle.time,attributes.ivr.businessTime,attributes.ivr.time,attributes.lastRevision.acceptedAt,attributes.lastRevision.enteredQueueAt,attributes.lastRevision.queueBusinessTime,attributes.lastRevision.queueTime,attributes.lastRevision.routedAt,attributes.resource.id,attributes.resource.lastMessageUnrespondedToSentAt,attributes.resource.priority,attributes.resource.status,attributes.wrapUp.businessTime,attributes.wrapUp.enteredAt,attributes.wrapUp.time,attributes.resource.sla.breachAt,relationships.acceptedBy.data.id,relationships.acceptedBy.data.type,relationships.acceptedBy.links.self,relationships.assignedTo.data.id,relationships.assignedTo.data.type,relationships.assignedTo.links.self,relationships.lastRevision.data.id,relationships.lastRevision.data.type,relationships.modifiedBy.data.id,relationships.modifiedBy.data.type,relationships.modifiedBy.links.self,relationships.org.data.id,relationships.org.data.type,relationships.org.links.self,relationships.queue.data.id,relationships.queue.data.type,relationships.queue.links.self,relationships.resource.data.id,relationships.resource.data.type,relationships.routedTo.data.id,relationships.routedTo.data.type,relationships.routedTo.links.self,relationships.routedToSession.data.id,relationships.routedToSession.data.type,relationships.routedToSession.links.self,relationships.rule.data.id,relationships.rule.data.type,relationships.rule.links.self,relationships.team.data.id,relationships.team.data.type,relationships.team.links.self,relationships.workSession.data.id,relationships.workSession.data.type,relationships.workSession.links.self
0,6438709729ea9f4c3d526039,work_item,voice,2023-04-13T21:21:05.200Z,2023-04-13T21:13:59.601Z,2023-04-13T21:13:59.864Z,False,1,2023-04-13T21:13:59.606Z,False,5,1,2023-04-13T21:13:58.074Z,in,,1790.0,,12,conversation,4,,completed,2023-04-13T21:21:05.200Z,1,/v1/routing/work-items/6438709729ea9f4c3d526039,,,,,280891,2023-04-13T21:21:05.200Z,280891,0.0,0.0,2023-04-13T21:16:24.309Z,2023-04-13T21:13:59.864Z,144445.0,144445.0,,64387096b878977950be565f,2023-04-13T21:13:57.815Z,3,open,,,,,640a0c4db6dbfe8df165fe88,user,/v1/users/640a0c4db6dbfe8df165fe88,640a0c4db6dbfe8df165fe88,user,/v1/users/640a0c4db6dbfe8df165fe88,6438709729ea9fbc8452603a,work_item_revision,,,,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,603ac6f4bb376400199ae17f,queue,/v1/routing/queues/603ac6f4bb376400199ae17f,64387096b878977950be565f,conversation,,,,,,,603ac6a0c21eac001a097fea,queue-rule,/v1/routing/queue-rules/603ac6a0c21eac001a097fea,,,,,,
1,64386fad0e7dde734c7e4d12,work_item,voice,2023-04-13T21:20:55.088Z,2023-04-13T21:10:05.614Z,2023-04-13T21:10:05.931Z,False,1,2023-04-13T21:10:05.621Z,False,5,1,2023-04-13T21:10:04.250Z,in,,1681.0,,15,conversation,5,,completed,2023-04-13T21:20:55.088Z,1,/v1/routing/work-items/64386fad0e7dde734c7e4d12,492749.0,2023-04-13T21:19:21.452Z,643871b8adc86112c615b76e,492749.0,586385,2023-04-13T21:20:55.088Z,586385,0.0,0.0,2023-04-13T21:11:08.703Z,2023-04-13T21:10:05.931Z,62772.0,62772.0,,64386fac4065dc5d85cc39f4,2023-04-13T21:10:04.017Z,3,open,,,,,6398b84d70cb5d60c74f9a16,user,/v1/users/6398b84d70cb5d60c74f9a16,6398b84d70cb5d60c74f9a16,user,/v1/users/6398b84d70cb5d60c74f9a16,64386fad0e7dde26ac7e4d13,work_item_revision,,,,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,603ac6f4bb376400199ae17f,queue,/v1/routing/queues/603ac6f4bb376400199ae17f,64386fac4065dc5d85cc39f4,conversation,,,,,,,603ac6a0c21eac001a097fea,queue-rule,/v1/routing/queue-rules/603ac6a0c21eac001a097fea,5ffde0fa457cefe8874aa6eb,team,/v1/teams/5ffde0fa457cefe8874aa6eb,643861ec0f2c0f6e019d1342,work_session,/v1/routing/work-sessions/643861ec0f2c0f6e019d1342
2,64385baa35f4b33785e164c1,work_item,voice,2023-04-13T21:20:14.314Z,2023-04-13T19:44:42.860Z,2023-04-13T19:44:42.860Z,False,1,2023-04-13T19:44:42.873Z,False,5,0,2023-04-13T17:57:23.693Z,in,,,,25,conversation,3,,completed,2023-04-13T21:20:14.314Z,3,/v1/routing/work-items/64385baa35f4b33785e164c1,,,,,5731454,2023-04-13T21:20:14.314Z,5731454,,,2023-04-13T19:44:42.860Z,2023-04-13T19:44:42.860Z,,,,6438428334e0c0adbf0938c9,,3,snoozed,,,,,60ba5ad72bdecf0019325e98,user,/v1/users/60ba5ad72bdecf0019325e98,60ba5ad72bdecf0019325e98,user,/v1/users/60ba5ad72bdecf0019325e98,64385baa35f4b32b42e164c2,work_item_revision,,,,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,603ac6f4bb376400199ae17f,queue,/v1/routing/queues/603ac6f4bb376400199ae17f,6438428334e0c0adbf0938c9,conversation,,,,,,,,,,5ffde0fc10678c588de6a51e,team,/v1/teams/5ffde0fc10678c588de6a51e,6437fc760fe02fc81ef60624,work_session,/v1/routing/work-sessions/6437fc760fe02fc81ef60624
3,64386deae237b1516542d199,work_item,voice,2023-04-13T21:19:19.085Z,2023-04-13T21:02:34.225Z,2023-04-13T21:02:34.760Z,False,1,2023-04-13T21:02:34.230Z,False,5,1,2023-04-13T21:02:32.910Z,in,,1850.0,,19,conversation,4,,completed,2023-04-13T21:19:19.085Z,1,/v1/routing/work-items/64386deae237b1516542d199,,,,,965384,2023-04-13T21:19:19.085Z,965384,0.0,0.0,2023-04-13T21:03:13.701Z,2023-04-13T21:02:34.760Z,38941.0,38941.0,,64386de87180de8297767b59,2023-04-13T21:02:32.634Z,3,open,,,,,635062649de8deaa1c2356fa,user,/v1/users/635062649de8deaa1c2356fa,635062649de8deaa1c2356fa,user,/v1/users/635062649de8deaa1c2356fa,64386deae237b15ea942d19a,work_item_revision,,,,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,603ac6f4bb376400199ae17f,queue,/v1/routing/queues/603ac6f4bb376400199ae17f,64386de87180de8297767b59,conversation,,,,,,,603ac6a0c21eac001a097fea,queue-rule,/v1/routing/queue-rules/603ac6a0c21eac001a097fea,5ffde0f73e99b87fcb4dcae6,team,/v1/teams/5ffde0f73e99b87fcb4dcae6,6437ff7a37b1a70a87337233,work_session,/v1/routing/work-sessions/6437ff7a37b1a70a87337233
4,64386f7d0fe02fe643fcd97e,work_item,chat,2023-04-13T21:19:03.129Z,2023-04-13T21:09:17.007Z,2023-04-13T21:09:17.466Z,False,1,2023-04-13T21:09:18.467Z,False,1,1,2023-04-13T21:09:15.766Z,in,2701.0,1700.0,2003.0,21,conversation,6,,completed,2023-04-13T21:19:03.129Z,1,/v1/routing/work-items/64386f7d0fe02fe643fcd97e,32177.0,2023-04-13T21:09:50.644Z,64386f870814ef45cc020afe,32177.0,584662,2023-04-13T21:19:03.129Z,584662,0.0,0.0,2023-04-13T21:09:18.467Z,2023-04-13T21:09:17.466Z,303.0,303.0,2023-04-13T21:09:17.769Z,64386f7bf7fdf67c740f5762,2023-04-13T21:09:15.728Z,3,open,,,,,628555044feb7c21f49011b9,user,/v1/users/628555044feb7c21f49011b9,628555044feb7c21f49011b9,user,/v1/users/628555044feb7c21f49011b9,64386f7d0fe02fcabafcd97f,work_item_revision,628555044feb7c21f49011b9,user,/v1/users/628555044feb7c21f49011b9,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,60214d41909957001a2ccfa1,queue,/v1/routing/queues/60214d41909957001a2ccfa1,64386f7bf7fdf67c740f5762,conversation,628555044feb7c21f49011b9,user,/v1/users/628555044feb7c21f49011b9,643808dab8b8d391f96b8e9a,work_session,/v1/routing/work-sessions/643808dab8b8d391f96b8e9a,60214d5b2819dc001bda0223,queue-rule,/v1/routing/queue-rules/60214d5b2819dc001bda0223,62042f756e39c33c269f724a,team,/v1/teams/62042f756e39c33c269f724a,643808dab8b8d391f96b8e9a,work_session,/v1/routing/work-sessions/643808dab8b8d391f96b8e9a
5,6438700102a59b07b4ba415c,work_item,voice,2023-04-13T21:18:57.283Z,2023-04-13T21:11:29.888Z,2023-04-13T21:11:30.158Z,False,1,2023-04-13T21:11:29.897Z,False,5,1,2023-04-13T21:11:28.315Z,in,,1843.0,,11,conversation,4,,completed,2023-04-13T21:18:57.283Z,1,/v1/routing/work-items/6438700102a59b07b4ba415c,,,,,334429,2023-04-13T21:18:57.283Z,334429,0.0,0.0,2023-04-13T21:13:22.854Z,2023-04-13T21:11:30.158Z,112696.0,112696.0,,64387000411dde4dec5df1db,2023-04-13T21:11:27.934Z,3,open,,,,,6398b84160abb207c938a93c,user,/v1/users/6398b84160abb207c938a93c,6398b84160abb207c938a93c,user,/v1/users/6398b84160abb207c938a93c,6438700102a59b5553ba415d,work_item_revision,,,,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,603ac6f4bb376400199ae17f,queue,/v1/routing/queues/603ac6f4bb376400199ae17f,64387000411dde4dec5df1db,conversation,,,,,,,603ac6a0c21eac001a097fea,queue-rule,/v1/routing/queue-rules/603ac6a0c21eac001a097fea,5ffde0fa457cefe8874aa6eb,team,/v1/teams/5ffde0fa457cefe8874aa6eb,643808c637b1a764e63418d0,work_session,/v1/routing/work-sessions/643808c637b1a764e63418d0
6,6438707433ede64109e0f3ef,work_item,chat,2023-04-13T21:18:54.401Z,2023-04-13T21:13:24.029Z,2023-04-13T21:13:24.392Z,False,1,2023-04-13T21:13:26.155Z,False,1,1,2023-04-13T21:13:22.467Z,in,3688.0,1925.0,2271.0,15,conversation,6,,completed,2023-04-13T21:18:54.401Z,1,/v1/routing/work-items/6438707433ede64109e0f3ef,70059.0,2023-04-13T21:14:36.214Z,643870b10381ed0fe83f323b,70059.0,328246,2023-04-13T21:18:54.401Z,328246,0.0,0.0,2023-04-13T21:13:26.155Z,2023-04-13T21:13:24.392Z,346.0,346.0,2023-04-13T21:13:24.738Z,6438707211a305746a90c166,2023-04-13T21:13:22.434Z,3,open,,,,,628554403c87ddaa75be37ac,user,/v1/users/628554403c87ddaa75be37ac,628554403c87ddaa75be37ac,user,/v1/users/628554403c87ddaa75be37ac,6438707433ede633fae0f3f0,work_item_revision,628554403c87ddaa75be37ac,user,/v1/users/628554403c87ddaa75be37ac,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,60214d41909957001a2ccfa1,queue,/v1/routing/queues/60214d41909957001a2ccfa1,6438707211a305746a90c166,conversation,628554403c87ddaa75be37ac,user,/v1/users/628554403c87ddaa75be37ac,6438089d9f08ef545680f940,work_session,/v1/routing/work-sessions/6438089d9f08ef545680f940,60214d5b2819dc001bda0223,queue-rule,/v1/routing/queue-rules/60214d5b2819dc001bda0223,62042f756e39c33c269f724a,team,/v1/teams/62042f756e39c33c269f724a,6438089d9f08ef545680f940,work_session,/v1/routing/work-sessions/6438089d9f08ef545680f940
7,64386f8f35f4b300c3e25d2a,work_item,voice,2023-04-13T21:18:53.189Z,2023-04-13T21:09:35.520Z,2023-04-13T21:09:35.797Z,False,1,2023-04-13T21:09:35.528Z,False,5,1,2023-04-13T21:09:34.115Z,in,,1682.0,,14,conversation,4,,completed,2023-04-13T21:18:53.189Z,1,/v1/routing/work-items/64386f8f35f4b300c3e25d2a,,,,,421378,2023-04-13T21:18:53.189Z,421378,0.0,0.0,2023-04-13T21:11:51.811Z,2023-04-13T21:09:35.797Z,136014.0,136014.0,,64386f8e5f7a175b53c2539b,2023-04-13T21:09:33.812Z,3,open,,,,,63bc31f69bdda9555143e4a6,user,/v1/users/63bc31f69bdda9555143e4a6,63bc31f69bdda9555143e4a6,user,/v1/users/63bc31f69bdda9555143e4a6,64386f8f35f4b32c2de25d2b,work_item_revision,,,,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,603ac6f4bb376400199ae17f,queue,/v1/routing/queues/603ac6f4bb376400199ae17f,64386f8e5f7a175b53c2539b,conversation,,,,,,,603ac6a0c21eac001a097fea,queue-rule,/v1/routing/queue-rules/603ac6a0c21eac001a097fea,5ffde0fa457cefe8874aa6eb,team,/v1/teams/5ffde0fa457cefe8874aa6eb,643808caeddb1b43d5e63e32,work_session,/v1/routing/work-sessions/643808caeddb1b43d5e63e32
8,643870030533d977f21f935e,work_item,chat,2023-04-13T21:18:47.845Z,2023-04-13T21:11:31.937Z,2023-04-13T21:11:32.193Z,False,1,2023-04-13T21:11:36.118Z,False,1,1,2023-04-13T21:11:30.649Z,in,5469.0,1544.0,1769.0,21,conversation,6,,completed,2023-04-13T21:18:47.845Z,1,/v1/routing/work-items/643870030533d977f21f935e,142119.0,2023-04-13T21:13:58.237Z,6438708a0814ef9d00023961,142119.0,431727,2023-04-13T21:18:47.845Z,431727,0.0,0.0,2023-04-13T21:11:36.118Z,2023-04-13T21:11:32.193Z,225.0,225.0,2023-04-13T21:11:32.418Z,6438700108d98225ce563707,2023-04-13T21:11:30.609Z,3,open,,,,,622258101ffc69a5cc0f2c84,user,/v1/users/622258101ffc69a5cc0f2c84,622258101ffc69a5cc0f2c84,user,/v1/users/622258101ffc69a5cc0f2c84,643870030533d94fb21f935f,work_item_revision,622258101ffc69a5cc0f2c84,user,/v1/users/622258101ffc69a5cc0f2c84,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,60214d41909957001a2ccfa1,queue,/v1/routing/queues/60214d41909957001a2ccfa1,6438700108d98225ce563707,conversation,622258101ffc69a5cc0f2c84,user,/v1/users/622258101ffc69a5cc0f2c84,6438088514a24a7978ed7ebf,work_session,/v1/routing/work-sessions/6438088514a24a7978ed7ebf,60214d5b2819dc001bda0223,queue-rule,/v1/routing/queue-rules/60214d5b2819dc001bda0223,62042f756e39c33c269f724a,team,/v1/teams/62042f756e39c33c269f724a,6438088514a24a7978ed7ebf,work_session,/v1/routing/work-sessions/6438088514a24a7978ed7ebf
9,64386f8ab8b8d32fc471735f,work_item,chat,2023-04-13T21:18:46.179Z,2023-04-13T21:09:30.070Z,2023-04-13T21:09:30.345Z,False,1,2023-04-13T21:09:31.606Z,False,1,1,2023-04-13T21:09:28.689Z,in,2917.0,1656.0,1941.0,19,conversation,6,,completed,2023-04-13T21:18:46.179Z,1,/v1/routing/work-items/64386f8ab8b8d32fc471735f,49583.0,2023-04-13T21:10:21.189Z,64386fa0b2c43a754b49e70e,49583.0,554573,2023-04-13T21:18:46.179Z,554573,0.0,0.0,2023-04-13T21:09:31.606Z,2023-04-13T21:09:30.345Z,285.0,285.0,2023-04-13T21:09:30.630Z,64386f88ca2b54ec7705228e,2023-04-13T21:09:28.658Z,3,open,,,,2023-04-13T21:11:29.101Z,6287cf2c6bf11a2007d4e924,user,/v1/users/6287cf2c6bf11a2007d4e924,6287cf2c6bf11a2007d4e924,user,/v1/users/6287cf2c6bf11a2007d4e924,64386f8ab8b8d3acfb717360,work_item_revision,6287cf2c6bf11a2007d4e924,user,/v1/users/6287cf2c6bf11a2007d4e924,5fedee827daf2cfe1a83e9ce,org,/v1/orgs/5fedee827daf2cfe1a83e9ce,60214d41909957001a2ccfa1,queue,/v1/routing/queues/60214d41909957001a2ccfa1,64386f88ca2b54ec7705228e,conversation,6287cf2c6bf11a2007d4e924,user,/v1/users/6287cf2c6bf11a2007d4e924,643800a667d7a37a6beb27a8,work_session,/v1/routing/work-sessions/643800a667d7a37a6beb27a8,60214d5b2819dc001bda0223,queue-rule,/v1/routing/queue-rules/60214d5b2819dc001bda0223,62042f756e39c33c269f724a,team,/v1/teams/62042f756e39c33c269f724a,643800a667d7a37a6beb27a8,work_session,/v1/routing/work-sessions/643800a667d7a37a6beb27a8
